GUC Name,Type,Context,Category,Description,Backing Variable,Flags,ConnMgr Compatible,Risk Level,Reasoning
yb_enable_bitmapscan,bool,PGC_USERSET,QUERY_TUNING_METHOD,Enables the planner's use of YB bitmap-scan plans.,yb_enable_bitmapscan,GUC_DISALLOW_IN_FILE|GUC_EXPLAIN|GUC_NOT_IN_SAMPLE|GUC_NO_RESET_ALL|GUC_NO_SHOW_ALL|GUC_REPORT,NEEDS_REVIEW,LOW,"SET VIA ASSIGN HOOK WITH UNREPORTED SOURCE: Set by assign_yb_enable_cbo via SetConfigOption(..., PGC_INTERNAL, PGC_S_DYNAMIC_DEFAULT). PGC_S_DYNAMIC_DEFAULT is NOT PGC_S_CLIENT or PGC_S_SESSION, so yb_should_report_guc returns false and ConnMgr does NOT receive ParameterStatus. Mitigated: RESET ALL resets this GUC to default, and deploy SET yb_enable_cbo re-triggers the hook."
yb_enable_update_reltuples_after_create_index,bool,PGC_USERSET,QUERY_TUNING_OTHER,"Enables update of reltuples in pg_class for the base table and index after creating the index. When disabled, reltuples are not updated during concurrent index creation and only index reltuples are updated during non-concurrent index creation.",yb_enable_update_reltuples_after_create_index,GUC_EXPLAIN|GUC_NOT_IN_SAMPLE,NEEDS_REVIEW,LOW,"SET VIA ASSIGN HOOK WITH UNREPORTED SOURCE: Set by assign_yb_enable_cbo via SetConfigOption(..., PGC_INTERNAL, PGC_S_DYNAMIC_DEFAULT). Change is NOT reported to ConnMgr. Mitigated by RESET ALL + deploy."
yb_parallel_range_rows,int,PGC_USERSET,QUERY_TUNING_OTHER,The number of rows to plan per parallel worker,yb_parallel_range_rows,GUC_EXPLAIN|GUC_UNIT_KB,NEEDS_REVIEW,LOW,"SET VIA ASSIGN HOOK WITH UNREPORTED SOURCE: Set by assign_yb_enable_cbo via SetConfigOption(..., PGC_INTERNAL, PGC_S_DYNAMIC_DEFAULT). Change is NOT reported to ConnMgr. Mitigated by RESET ALL + deploy."
DateStyle,string,PGC_USERSET,CLIENT_CONN_LOCALE,Sets the display format for date and time values.,datestyle_string,GUC_LIST_INPUT|GUC_REPORT,YES,NONE,"PGC_USERSET - session-level GUC with GUC_REPORT flag. No direct variable writes bypassing GUC machinery found. Has check/assign hooks (check_datestyle, assign_datestyle). All changes go through standard SET/RESET which ConnMgr handles. GUC_REPORT ensures ConnMgr is notified of changes."
IntervalStyle,enum,PGC_USERSET,CLIENT_CONN_LOCALE,Sets the display format for interval values.,IntervalStyle,GUC_REPORT,YES,NONE,PGC_USERSET - session-level GUC with GUC_REPORT flag. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
TimeZone,string,PGC_USERSET,CLIENT_CONN_LOCALE,Sets the time zone for displaying and interpreting time stamps.,timezone_string,GUC_REPORT,YES,NONE,PGC_USERSET - session-level GUC with GUC_REPORT flag. No direct variable writes bypassing GUC machinery found. Has check/assign/show hooks. All changes go through standard SET/RESET which ConnMgr handles. GUC_REPORT ensures ConnMgr is notified.
allow_in_place_tablespaces,bool,PGC_SUSET,DEVELOPER_OPTIONS,"Allows tablespaces directly inside pg_tblspc, for testing.",allow_in_place_tablespaces,GUC_DISALLOW_IN_FILE|GUC_NOT_IN_SAMPLE|GUC_RUNTIME_COMPUTED,YES,NONE,PGC_SUSET - session-level GUC. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
allow_system_table_mods,bool,PGC_SUSET,DEVELOPER_OPTIONS,Allows modifications of the structure of system tables.,allowSystemTableMods,GUC_NOT_IN_SAMPLE,YES,NONE,PGC_SUSET. The only direct write is in assign_ysql_upgrade_mode GUC assign hook (guc.c:16828). This is part of the standard GUC mechanism - one GUC assign hook sets another as a side effect. RISK: NONE - triggered via GUC mechanism.
application_name,string,PGC_USERSET,LOGGING_WHAT,Sets the application name to be reported in statistics and logs.,application_name,GUC_IS_NAME|GUC_LIST_INPUT|GUC_NOT_IN_SAMPLE|GUC_REPORT|GUC_SUPERUSER_ONLY,YES,NONE,"PGC_USERSET. ""Write"" in postmaster.c is to port->application_name struct field, not the GUC variable. postinit.c uses the value in a log message (read). GUC_REPORT flag means server reports changes to client. RISK: NONE."
archive_cleanup_command,string,PGC_SIGHUP,WAL_ARCHIVE_RECOVERY,Sets the shell command that will be executed at every restart point.,archiveCleanupCommand,,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
archive_command,string,PGC_SIGHUP,WAL_ARCHIVING,Sets the shell command that will be called to archive a WAL file.,XLogArchiveCommand,,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
archive_library,string,PGC_SIGHUP,WAL_ARCHIVING,Sets the library that will be called to archive a WAL file.,XLogArchiveLibrary,,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
archive_mode,enum,PGC_POSTMASTER,WAL_ARCHIVING,Allows archiving of WAL files using archive_command.,XLogArchiveMode,GUC_NOT_IN_SAMPLE,YES,NONE,"PGC_POSTMASTER - set only at server start, same for all connections. Safe."
archive_timeout,int,PGC_SIGHUP,WAL_ARCHIVING,Sets the amount of time to wait before forcing a switch to the next WAL file.,XLogArchiveTimeout,GUC_EXPLAIN|GUC_NOT_IN_SAMPLE|GUC_UNIT_S,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
array_nulls,bool,PGC_USERSET,COMPAT_OPTIONS_PREVIOUS,Enable input of NULL elements in arrays.,Array_nulls,GUC_NOT_IN_SAMPLE|GUC_NO_SHOW_ALL,YES,NONE,PGC_USERSET - session-level GUC. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
auth_delay.milliseconds,int,PGC_SIGHUP,EXTENSION_CONTRIB,Milliseconds to delay before reporting authentication failure,auth_delay_milliseconds,GUC_UNIT_MS,YES,NONE,PGC_SIGHUP - config file reload. Extension GUC using standard DefineCustom*Variable. Safe.
authentication_timeout,int,PGC_SIGHUP,CONN_AUTH_AUTH,Sets the maximum allowed time to complete client authentication.,AuthenticationTimeout,GUC_NOT_IN_SAMPLE|GUC_UNIT_BYTE|GUC_UNIT_MB|GUC_UNIT_S,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
auto_explain.log_analyze,bool,PGC_SUSET,EXTENSION_CONTRIB,Use EXPLAIN ANALYZE for plan logging.,auto_explain_log_analyze,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_buffers,bool,PGC_SUSET,EXTENSION_CONTRIB,Log buffers usage.,auto_explain_log_buffers,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_debug,bool,PGC_SUSET,EXTENSION_CONTRIB,Set log_debug=true to enable debug metrics in explain analyze output.,auto_explain_log_debug,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_dist,bool,PGC_SUSET,EXTENSION_CONTRIB,Set log_dist=false to disable distributed metrics for explain analyze.,auto_explain_log_dist,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_format,enum,PGC_SUSET,EXTENSION_CONTRIB,EXPLAIN format to be used for plan logging.,auto_explain_log_format,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_level,enum,PGC_SUSET,EXTENSION_CONTRIB,Log level for the plan.,auto_explain_log_level,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_min_duration,int,PGC_SUSET,EXTENSION_CONTRIB,Sets the minimum execution time above which plans will be logged.,auto_explain_log_min_duration,GUC_UNIT_MS,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_nested_statements,bool,PGC_SUSET,EXTENSION_CONTRIB,Log nested statements.,auto_explain_log_nested_statements,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_settings,bool,PGC_SUSET,EXTENSION_CONTRIB,Log modified configuration parameters affecting query planning.,auto_explain_log_settings,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_timing,bool,PGC_SUSET,EXTENSION_CONTRIB,"Collect timing data, not just row counts.",auto_explain_log_timing,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_triggers,bool,PGC_SUSET,EXTENSION_CONTRIB,Include trigger statistics in plans.,auto_explain_log_triggers,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_verbose,bool,PGC_SUSET,EXTENSION_CONTRIB,Use EXPLAIN VERBOSE for plan logging.,auto_explain_log_verbose,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.log_wal,bool,PGC_SUSET,EXTENSION_CONTRIB,Log WAL usage.,auto_explain_log_wal,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
auto_explain.sample_rate,real,PGC_SUSET,EXTENSION_CONTRIB,Fraction of queries to process.,auto_explain_sample_rate,,YES,NONE,PGC_SUSET - Extension GUC using standard DefineCustom*Variable mechanism. All changes go through standard SET/RESET which ConnMgr handles.
autovacuum,bool,PGC_SIGHUP,AUTOVACUUM,Starts the autovacuum subprocess.,autovacuum_start_daemon,GUC_NOT_IN_SAMPLE,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_analyze_scale_factor,real,PGC_SIGHUP,AUTOVACUUM,"Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples.",autovacuum_anl_scale,,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_analyze_threshold,int,PGC_SIGHUP,AUTOVACUUM,"Minimum number of tuple inserts, updates, or deletes prior to analyze.",autovacuum_anl_thresh,,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_freeze_max_age,int,PGC_POSTMASTER,AUTOVACUUM,Age at which to autovacuum a table to prevent transaction ID wraparound.,autovacuum_freeze_max_age,GUC_EXPLAIN,YES,NONE,"PGC_POSTMASTER - set only at server start, same for all connections. Safe."
autovacuum_max_workers,int,PGC_POSTMASTER,AUTOVACUUM,Sets the maximum number of simultaneously running autovacuum worker processes.,autovacuum_max_workers,GUC_EXPLAIN|GUC_UNIT_KB,YES,NONE,"PGC_POSTMASTER - set only at server start, same for all connections. Safe."
autovacuum_multixact_freeze_max_age,int,PGC_POSTMASTER,AUTOVACUUM,Multixact age at which to autovacuum a table to prevent multixact wraparound.,autovacuum_multixact_freeze_max_age,GUC_EXPLAIN,YES,NONE,"PGC_POSTMASTER - set only at server start, same for all connections. Safe."
autovacuum_naptime,int,PGC_SIGHUP,AUTOVACUUM,Time to sleep between autovacuum runs.,autovacuum_naptime,GUC_UNIT_S,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_vacuum_cost_delay,real,PGC_SIGHUP,AUTOVACUUM,"Vacuum cost delay in milliseconds, for autovacuum.",autovacuum_vac_cost_delay,GUC_UNIT_MS,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_vacuum_cost_limit,int,PGC_SIGHUP,AUTOVACUUM,"Vacuum cost amount available before napping, for autovacuum.",autovacuum_vac_cost_limit,GUC_NOT_IN_SAMPLE,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_vacuum_insert_scale_factor,real,PGC_SIGHUP,AUTOVACUUM,Number of tuple inserts prior to vacuum as a fraction of reltuples.,autovacuum_vac_ins_scale,,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_vacuum_insert_threshold,int,PGC_SIGHUP,AUTOVACUUM,"Minimum number of tuple inserts prior to vacuum, or -1 to disable insert vacuums.",autovacuum_vac_ins_thresh,,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_vacuum_scale_factor,real,PGC_SIGHUP,AUTOVACUUM,Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.,autovacuum_vac_scale,,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_vacuum_threshold,int,PGC_SIGHUP,AUTOVACUUM,Minimum number of tuple updates or deletes prior to vacuum.,autovacuum_vac_thresh,,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
autovacuum_work_mem,int,PGC_SIGHUP,RESOURCES_MEM,Sets the maximum memory to be used by each autovacuum worker process.,autovacuum_work_mem,GUC_DISALLOW_IN_FILE|GUC_NOT_IN_SAMPLE|GUC_NO_SHOW_ALL|GUC_UNIT_KB|GUC_UNIT_MIN|GUC_UNIT_S,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
backend_flush_after,int,PGC_USERSET,RESOURCES_ASYNCHRONOUS,Number of pages after which previously performed writes are flushed to disk.,backend_flush_after,GUC_UNIT_BLOCKS|GUC_UNIT_MIN,YES,NONE,PGC_USERSET. Assign hook writes only. Standard GUC mechanism. RISK: NONE.
backslash_quote,enum,PGC_USERSET,COMPAT_OPTIONS_PREVIOUS,"Sets whether ""\\'"" is allowed in string literals.",backslash_quote,GUC_EXPLAIN,YES,NONE,PGC_USERSET - session-level GUC. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
backtrace_functions,string,PGC_SUSET,DEVELOPER_OPTIONS,Log backtrace for errors in these functions.,backtrace_functions,GUC_LIST_INPUT|GUC_NOT_IN_SAMPLE,YES,NONE,PGC_SUSET - session-level GUC. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
basebackup_to_shell.command,string,PGC_SIGHUP,EXTENSION_CONTRIB,Shell command to be executed for each backup file.,shell_command,,YES,NONE,PGC_SIGHUP - config file reload. Extension GUC using standard DefineCustom*Variable. Safe.
basebackup_to_shell.required_role,string,PGC_SIGHUP,EXTENSION_CONTRIB,Backup user must be a member of this role to use shell backup target.,shell_required_role,,YES,NONE,PGC_SIGHUP - config file reload. Extension GUC using standard DefineCustom*Variable. Safe.
basic_archive.archive_directory,string,PGC_SIGHUP,EXTENSION_CONTRIB,Archive file destination directory.,archive_directory,,YES,NONE,PGC_SIGHUP - config file reload. Extension GUC using standard DefineCustom*Variable. Safe.
bgwriter_delay,int,PGC_SIGHUP,RESOURCES_BGWRITER,Background writer sleep time between rounds.,BgWriterDelay,GUC_EXPLAIN|GUC_UNIT_BLOCKS|GUC_UNIT_MS,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
bgwriter_flush_after,int,PGC_SIGHUP,RESOURCES_BGWRITER,Number of pages after which previously performed writes are flushed to disk.,bgwriter_flush_after,GUC_EXPLAIN|GUC_UNIT_BLOCKS,YES,NONE,PGC_SIGHUP. Assign hook writes only. Config reload applies uniformly. RISK: NONE.
bgwriter_lru_maxpages,int,PGC_SIGHUP,RESOURCES_BGWRITER,Background writer maximum number of LRU pages to flush per round.,bgwriter_lru_maxpages,GUC_EXPLAIN|GUC_UNIT_BLOCKS,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
bgwriter_lru_multiplier,real,PGC_SIGHUP,RESOURCES_BGWRITER,Multiple of the average buffer usage to free per round.,bgwriter_lru_multiplier,GUC_DISALLOW_IN_FILE|GUC_NOT_IN_SAMPLE|GUC_NO_RESET_ALL|GUC_NO_SHOW_ALL|GUC_UNIT_MS,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
block_size,int,PGC_INTERNAL,PRESET_OPTIONS,Shows the size of a disk block.,block_size,GUC_DISALLOW_IN_FILE|GUC_NOT_IN_SAMPLE|GUC_RUNTIME_COMPUTED|GUC_UNIT_BLOCKS|GUC_UNIT_BYTE|GUC_UNIT_MS|GUC_UNIT_S,YES,NONE,PGC_INTERNAL. No direct writes found. Compile-time constant. RISK: NONE.
bonjour,bool,PGC_POSTMASTER,CONN_AUTH_SETTINGS,Enables advertising the server via Bonjour.,enable_bonjour,,YES,NONE,"PGC_POSTMASTER - set only at server start, same for all connections. Safe."
bonjour_name,string,PGC_POSTMASTER,CONN_AUTH_SETTINGS,Sets the Bonjour service name.,bonjour_name,GUC_DISALLOW_IN_FILE|GUC_NOT_IN_SAMPLE,YES,NONE,"PGC_POSTMASTER - set only at server start, same for all connections. Safe."
bytea_output,enum,PGC_USERSET,CLIENT_CONN_STATEMENT,Sets the output format for bytea.,bytea_output,GUC_EXPLAIN,YES,NONE,"PGC_USERSET. ""Write"" in sql-binary.c is an ECPG test using SET command. Not a direct variable modification. RISK: NONE."
check_function_bodies,bool,PGC_USERSET,CLIENT_CONN_STATEMENT,Check routine bodies during CREATE FUNCTION and CREATE PROCEDURE.,check_function_bodies,GUC_NOT_IN_SAMPLE|GUC_NO_SHOW_ALL,YES,NONE,PGC_USERSET. No direct C assignments. pg_backup_archiver uses SET command. RISK: NONE.
checkpoint_completion_target,real,PGC_SIGHUP,WAL_CHECKPOINTS,"Time spent flushing dirty buffers during checkpoint, as fraction of checkpoint interval.",CheckPointCompletionTarget,,YES,NONE,PGC_SIGHUP. Assign hook or config reload only. RISK: NONE.
checkpoint_flush_after,int,PGC_SIGHUP,WAL_CHECKPOINTS,Number of pages after which previously performed writes are flushed to disk.,checkpoint_flush_after,GUC_UNIT_BLOCKS|GUC_UNIT_KB|GUC_UNIT_MS|GUC_UNIT_XBLOCKS,YES,NONE,PGC_SIGHUP. Assign hook writes only. Config reload applies uniformly. RISK: NONE.
checkpoint_timeout,int,PGC_SIGHUP,WAL_CHECKPOINTS,Sets the maximum time between automatic WAL checkpoints.,CheckPointTimeout,GUC_UNIT_BLOCKS|GUC_UNIT_MS|GUC_UNIT_S|GUC_UNIT_XBLOCKS,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
checkpoint_warning,int,PGC_SIGHUP,WAL_CHECKPOINTS,Sets the maximum time before warning if checkpoints triggered by WAL volume happen too frequently.,CheckPointWarning,GUC_UNIT_BLOCKS|GUC_UNIT_MS|GUC_UNIT_S|GUC_UNIT_XBLOCKS,YES,NONE,"PGC_SIGHUP - changed via config file reload, applied uniformly. No direct writes found. Safe."
client_connection_check_interval,int,PGC_USERSET,CONN_AUTH_SETTINGS,Sets the time interval between checks for disconnection while running queries.,client_connection_check_interval,GUC_UNIT_MS,YES,NONE,PGC_USERSET - session-level GUC. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
client_encoding,string,PGC_USERSET,CLIENT_CONN_LOCALE,Sets the client's character set encoding.,client_encoding_string,GUC_IS_NAME|GUC_LIST_INPUT|GUC_REPORT,YES,NONE,PGC_USERSET - session-level GUC. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
client_min_messages,enum,PGC_USERSET,CLIENT_CONN_STATEMENT,Sets the message levels that are sent to the client.,client_min_messages,GUC_EXPLAIN,YES,NONE,"PGC_USERSET. Save/restore in postgres.c:yb_parse_query_silently with PG_TRY/PG_CATCH. SAFE in transaction pooling: restored within the same query processing, before ReadyForQuery."
cluster_name,string,PGC_POSTMASTER,PROCESS_TITLE,"Sets the name of the cluster, which is included in the process title.",cluster_name,GUC_IS_NAME|GUC_LIST_INPUT|GUC_NOT_IN_SAMPLE|GUC_SUPERUSER_ONLY,YES,NONE,"PGC_POSTMASTER - set only at server start, same for all connections. Safe."
commit_delay,int,PGC_SUSET,WAL_SETTINGS,Sets the delay in microseconds between transaction commit and flushing WAL to disk.,CommitDelay,GUC_UNIT_MS,YES,NONE,PGC_SUSET - session-level GUC. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
commit_siblings,int,PGC_USERSET,WAL_SETTINGS,Sets the minimum number of concurrent open transactions required before performing commit_delay.,CommitSiblings,GUC_UNIT_MS,YES,NONE,PGC_USERSET - session-level GUC. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
compute_query_id,enum,PGC_SUSET,STATS_MONITORING,Enables in-core computation of query identifiers.,compute_query_id,GUC_DISALLOW_IN_FILE|GUC_EXPLAIN|GUC_NOT_IN_SAMPLE|GUC_NO_RESET_ALL,YES,NONE,PGC_SUSET - session-level GUC. No direct variable writes bypassing GUC machinery found. All changes go through standard SET/RESET which ConnMgr handles.
config_file,string,PGC_POSTMASTER,FILE_LOCATIONS,Sets the server's main configuration file.,ConfigFileName,GUC_DISALLOW_IN_FILE|GUC_NOT_IN_SAMPLE|GUC_SUPERUSER_ONLY,YES,NONE,"PGC_POSTMASTER - set only at server start, same for all connections. Safe."
